"Molecule","Library","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex"
"Nc1ccccc1N1CCOCC1","DSPL",9.096011838247808,7.570640356658141,6.1378282015046945,6.811554787871632,6.377010097711745,4.54943800275772,2.8273502691896257,3.6498299142610593,9.551020408163264,4.481481481481481,2.268431001890359,7.174938122448981,3.277915654320988,1.6218069413988663,1.8091416915661502
"OC1CCN(CC1)C(=O)OCc1ccccc1","DSPL",12.08757566981053,9.710559292998136,7.999635521070495,8.803118619434354,8.25402019542349,5.89191821863345,4.080733574043959,5.041241452319315,13.432098765432098,6.805293005671078,4.301783264746227,10.57595486111111,5.271591446124764,3.2891589506172836,3.27953606943735
"COC(=O)C1CC1","DSPL",5.276020881938894,4.308060412490447,3.4915638315627207,3.5689141007523464,3.342535255101096,2.421668296450265,1.605171715522539,1.6498299142610593,5.142857142857142,1.8518518518518516,0.7933884297520661,4.442510204081633,1.5544814814814818,0.6449008264462811,0.9865428347910595
"CCOC(=O)c1ccoc1","DSPL",7.397341225498536,5.663902460147014,4.439157588755425,4.983127663125441,4.842535255101096,3.0361183295592142,1.8677903837095067,2.3569366954476068,8.1,4.0,2.2857142857142856,6.142558319999999,2.9284627222222217,1.6254787346938773,1.7988253059195956
"CN1CCCC1CO","DSPL",5.983127663125442,5.300204584935733,4.405777393935816,4.405777393935816,3.842535255101096,3.1543645982085207,1.8164965809277263,1.8164965809277258,6.125,2.52,1.25,6.125,2.52,1.25,1.929375
"OC(=O)COCc1ccccc1","DSPL",8.811554787871634,6.5646750847489095,5.300964908321225,6.104448006685084,5.787693700234704,3.622871595881043,2.6177903837095067,3.632993161855452,10.083333333333332,5.612244897959183,4.591836734693877,7.462485333333336,4.027034122448981,3.2151320816326545,2.504306922967367
"CCN(CCO)c1ccc(N)cc1","DSPL",9.681798275874712,7.9024988805076894,6.430721420318147,7.104448006685084,6.274386907679233,4.489439216627772,3.0284739862324654,3.8400999430419995,11.076923076923077,5.671875,3.3240997229916895,8.321230011834322,4.148612000000001,2.376553662049862,2.6555042062966168
"Cc1cc(C)nc(Nc2ccccc2)n1","DSPL",10.673362107437432,8.858528806137672,7.464101615137757,8.55204176387779,7.237183443017883,4.882461062712501,3.4880338717125854,4.787693700234704,11.484375,5.365079365079366,3.5,7.656181871093753,3.4611887959183685,2.197503574652779,1.766632727449535
"CNC(=O)c1cc(Cl)ccn1","DSPL",8.267584713501616,6.721406112560379,4.232050807568877,4.85337115112852,5.236382105218448,3.452235279360684,1.4493587371177719,2.0580782047249224,9.090909090909092,4.13265306122449,2.5,7.058432504850072,3.11834702849758,1.8385424455930688,2.000967457031814
"c1n[nH]cc1-c1ccccn1","DSPL",7.51866156905818,5.858528806137672,4.464101615137754,5.397341225498536,5.4663264951887856,3.3683119133735318,2.1160254037844384,3.0580782047249224,7.638888888888888,3.6,1.7728531855955678,4.685789062500001,2.084427222222223,0.9737981301939062,0.8879260254060138
"Cc1cnc(NC(=O)CCC2CCCC2)s1","DSPL",11.380468888623982,10.477547982853949,7.897341225498536,8.259148545064336,7.737183443017883,6.777648100700338,4.366973396579676,4.618591721508941,12.456747404844291,6.074380165289257,4.0768,11.208036312117903,5.424483053643187,3.620108800519517,3.7998626899813157
"CC(C)C(=O)N1CCN(CC1)c1ccccc1N","DSPL",13.120955864630139,11.095204221347725,9.21517847069432,9.966255326250884,8.592224152875016,6.475649881557745,4.27072594216369,5.137863785973645,14.409972299168976,6.437869822485207,3.5261707988980717,10.794602551246538,4.733516599112426,2.5569889999999997,2.8386905753970457
"COCCNC1CCN(CC1)C(C)=O","DSPL",10.38890505706126,9.083701132736596,7.319990956308912,7.397341225498538,6.736382105218448,5.215835006190075,2.8164965809277263,2.8938468501173515,12.071428571428571,6.477508650519031,4.38781163434903,10.837868250000001,5.763839020761248,3.8777497977839346,4.461980565801388
"CS(=O)(=O)N1CCC(CC1)C(=O)NC1CC1","DSPL",11.759148545064338,10.294044563781675,6.897341225498538,6.974691494688162,7.465345060828677,7.5693905372074415,3.421668296450265,3.4663264951887856,12.456747404844291,4.704000000000001,3.0297265160523184,12.530074034536073,4.733629919823059,3.0497466139702487,3.707045834217374
"COc1ccc2c(CC(O)=O)cc(=O)oc2c1","DSPL",12.41384908344359,9.096714615300462,7.016507857945051,7.999635521070493,8.096555450524585,4.924966736462258,3.2724909220887586,4.432652990377571,13.432098765432098,5.760000000000001,3.263267429760666,9.77586251851852,4.100977049600002,2.2828006826222693,2.358269872264078
"CNc1ccccc1C(F)(F)F","DSPL",9.19023444431199,6.4432944957861835,4.809401076758503,5.483127663125441,5.553860120506283,3.3942969787034656,2.0773502691896253,2.9385050488558724,10.083333333333332,3.8062283737024223,2.4930747922437675,7.361272215389923,2.6900933726585774,1.7173350126028568,1.650209133413013
"COCC(=O)Nc1cccc(NC(C)=O)c1","DSPL",11.966255326250886,9.24125272933664,7.016507857945051,7.8449349826912425,7.613392202930193,4.780092311161732,2.6749205956391924,3.6185917215089414,14.0625,7.3500000000000005,5.777777777777778,9.837492000000001,5.006506880000002,3.8571563537414977,3.0782169612465613
"CCN(CC)c1cccc(O)c1","DSPL",8.974691494688164,7.6180418301315145,6.723614639131599,7.397341225498536,5.774386907679233,4.315249894952647,3.235580767419013,4.0472067242285465,10.083333333333332,4.888888888888889,2.7777777777777777,7.750539062500001,3.658311666666668,2.0349232253086424,2.3628239562749576
"COC(=O)Nc1nnc(CC2CCCC2)s1","DSPL",11.380468888623982,10.048552818441596,6.612884175122365,6.8449349826912425,7.775188245478668,6.266753309804137,3.078298261984863,3.132993161855452,12.456747404844291,6.074380165289257,3.769230769230769,11.117336257292635,5.377408020884879,3.316472906009859,3.736403322552481
"COc1cc(Nc2ccccc2)ccc1N","DSPL",11.380468888623982,9.104400713170497,7.618802153517008,8.966255326250884,7.792024997884274,5.049765044526152,3.6487174742355446,5.282823076116512,12.456747404844291,6.074380165289257,3.49519890260631,8.372667820069207,3.962750000000001,2.229288065843622,2.0736743377487037
"CCc1ccc(NC(=O)c2cnccn2)cc1","DSPL",12.08757566981053,9.55123414697771,7.748558665513929,8.966255326250884,8.292024997884274,5.45636345697728,3.7540358447538855,4.989929857303059,13.432098765432098,6.805293005671078,3.9999999999999996,8.866540027777779,4.362670451795842,2.5046664145408166,2.2753995405206586
